Name, Homepage, Hauptsitz, Info
Frankfurt Volksbank, https://www.frankfurter-volksbank.de/, Frankfurt,
HypoVereinsbank, https://www.hypovereinsbank.de/, München,
Degussa Bank, https://www.degussa-bank.de/, Frankfurt,
Bethmannbank, https://www.bethmannbank.de/, Frankfurt, Im Oktober 2022 wurde die Bank auf die deutsche Niederlassung der ABN AMRO Bank N.V. verschmolzen, die Geschäfte werden über die Marke Bethmann Bank aber weiter betrieben.
Deutsche Bank, https://www.deutsche-bank.de/, Frankfurt,
dwpbank, https://www.dwpbank.de/, Frankfurt, Die Deutsche WertpapierService Bank AG (dwpbank) führt als Transaktionsbank die Wertpapierabwicklung für Finanzinstitute aus dem Sparkassen- und Genossenschaftsbereich, aber auch aus dem Privat- und Geschäftsbankensektor durch. Die dwpbank verwaltet derzeit rund 5,5 Millionen Wertpapierdepots.
KT Bank, https://www.kt-bank.de/, Frankfurt,Islamic Banking; Tochterunternehmen der Kuveyt Türk Katılım Bankası A.Ş. (deutsch „Kuwaitisch-Türkische Beteiligungsbank AG“) mit Sitz in Istanbul
Triodos Bank, https://www.triodos.de/, Zeist - Netherlands, *** gehört eig nicht dazu; sehr grüne Bank
DekaBank, https://www.deka.de/, Frankfurt, Sie ist das Wertpapierhaus der deutschen Sparkassen-Finanzgruppe
Westend Bank, https://www.westendbank.de/, Frankfurt, Die Westend Bank gibt wohlhabenden Kunden Kredit, als Sicherheiten dienen Oldtimer und Kunst. Mit dem Geschäftsmodell will Milliardärssohn Daniel Hopp groß rauskommen.
Nassauische Sparkasse, https://www.naspa.de/, Wiesbaden, Sie ist eine der größten Sparkassen in Hessen und betreut Privat- und Geschäftskunden in der Region Rhein-Main
Reisebank, https://www.reisebank.de/, Frankfurt, Tochter der DZ Bank; Edelmetalle kaufen und Reisegeld wechseln mit der Sicherheit einer Bank 
Aachener Bank, https://www.aachener-bank.de/, Aachen, *** Bauchgefühl sagt nein
Aareal Bank, https://www.aareal-bank.com/, Wiesbaden, Übernahme steht an
Allgemeine Beamten Bank, https://www.abkbank.de/, Berlin, *** Bauchgefühl sagt nein
AKA-Bank, https://www.akabank.de/de/, Frankfurt,  Spezialbank für Exportfinanzierungen mit Sitz in Frankfurt am Main
Bankhaus Metzler, https://www.metzler.com/de/metzler, Frankfurt, Eigensinn Bank
Bankhaus Scheich, https://www.bankhaus-scheich.de/, Frankfurt, digitale Assets
Commerzbank, https://commerzbank.com/, Frankfurt, 
DZ Bank, https://www.dzbank.com/, Frankfurt, DZ Bank AG is the second largest bank in Germany by asset size 
Frankfurter Bankgesellschaft (Deutschland) AG, https://www.frankfurter-bankgesellschaft.com/, Frankfurt, 
Frankfurter Sparkasse, https://www.frankfurter-sparkasse.de/, Frankfurt,
hauck & aufhäuser privatbankiers, https://www.hal-privatbank.com/, Frankfurt, 
ICF Bank, https://icfbank.de/, Frankfurt, Wertpapierbank; Market Making; IPO
ING-DiBa, https://www.ing.de/, Frankfurt, Direktbank und ein vollständiges Tochterunternehmen der niederländischen ING Groep
İşbank AG, https://www.isbank.de/, Frankfurt, Tochterunternehmen der türkischen Universalbank Türkiye İş Bankası A.Ş. mit Sitz in Istanbul
KfW, https://www.kfw.de/, Frankfurt, keine Filialen, verfügt nicht über Kundeneinlagen und refinanziert ihr Fördergeschäft fast vollständig über die internationalen Kapitalmärkte.
Landwirtschaftliche Rentenbank, https://www.rentenbank.de/, Frankfurt, deutsche Förderbank für die Agrarwirtschaft und den ländlichen Raum
mainfirst, https://www.mainfirst.com/, ???, *** Hauptsitz unklar
Raisin Bank, https://www.raisin.bank/, Frankfurt,  CRR-Kreditinstitut
Misr Bank Europe GmbH, https://www.misr.de/, ???, *** muss wahrscheinlich rauskommen
ODDO BHF Corporates & Markets AG (ODDO BHF SE), https://www.oddo-bhf.com/, Frankfurt, Abgrenzung zur Gruppe_
OYAK ANKER Bank GmbH, https://www.oyakankerbank.de/, Frankfurt
procredit bank ag, https://www.procreditbank.de/, Frankfurt, kleine Bank 64Mitarbeiter
Renell Wertpapierhandelsbank AG, https://www.renellbank.com/, Frankfurt, ***zu klein muss raus
DSK Hyp AG, https://dskvg.de/, Frankfurt,  ***Umstrukturierung steht an
SECB Swiss Euro Clearing Bank GmbH, https://www.secb.de/, Frankfurt, ***nur Dienstleister für schweizer Banken
Sparda-Bank Hessen eG, https://www.sparda-hessen.de/, Frankfurt, 
futurumbank (BitcoinSE), https://www.futurumbank.com/, Frankfurt (Herford), ***gehört zu BitcoinSe 
Union Investment, https://www.union-investment.de/ Frankfurt, gehört zur DZ Bank
AK Bank, https://www.akbank.de/, Frankfurt, *** Tochtergesellschaft der türkischen Akbank T.A.Ş
Cronbank, https://www.cronbank.de/, Frankfurt,  ***Spezialbank für den mittelständischen Möbel- und Küchenfachhandel
Goldman Sachs Bank Europe SE, https://www.goldmansachs.com/disclosures/gsbank-europe-se-disclosures.html, Frankfurt, ***esg reporting wird schwer
Keb Hana Bank (D), https://www.kebhana.de/en/, Frankfurt, ***Main in South Korea
Morgan Stanley Europe SE, https://www.morganstanley.com/, Frankfurt, ***Main in USA
NIBC Bank Deutschland AG, https://www.nibcdirect.de/, Frankfurt, ***mit Niederländern verschmolzen
UBS Europe SE, https://www.ubs.com/, Frankfurt, *** Hauptsitz Schweiz...
