Name, Homepage, Hauptsitz, Art, Info

Frankfurt Volksbank, https://www.frankfurter-volksbank.de/, Frankfurt, Bank, *
Degussa Bank, https://www.degussa-bank.de/, Frankfurt, Bank, *
Bethmannbank, https://www.bethmannbank.de/, Frankfurt, Bank, Im Oktober 2022 wurde die Bank auf die deutsche Niederlassung der ABN AMRO Bank N.V. verschmolzen, die Geschäfte werden über die Marke Bethmann Bank aber weiter betrieben.
Deutsche Bank, https://www.deutsche-bank.de/, Frankfurt, Bank, *
DekaBank Deutsche Girozentrale, https://www.deka.de/, Frankfurt, Asset Manager, Sie ist das Wertpapierhaus der deutschen Sparkassen-Finanzgruppe
dwpbank, https://www.dwpbank.de/, Frankfurt, Bank, Die Deutsche WertpapierService Bank AG (dwpbank) führt als Transaktionsbank die Wertpapierabwicklung für Finanzinstitute aus dem Sparkassen- und Genossenschaftsbereich, aber auch aus dem Privat- und Geschäftsbankensektor durch. Die dwpbank verwaltet derzeit rund 5,5 Millionen Wertpapierdepots.
KT Bank, https://www.kt-bank.de/, Frankfurt, Bank, Islamic Banking; Tochterunternehmen der Kuveyt Türk Katılım Bankası A.Ş. (deutsch „Kuwaitisch-Türkische Beteiligungsbank AG“) mit Sitz in Istanbul.
DekaBank, https://www.deka.de/, Frankfurt, Sie ist das Wertpapierhaus der deutschen Sparkassen-Finanzgruppe
Westend Bank, https://www.westendbank.de/, Frankfurt, Bank, Die Westend Bank gibt wohlhabenden Kunden Kredit, als Sicherheiten dienen Oldtimer und Kunst. Mit dem Geschäftsmodell will Milliardärssohn Daniel Hopp groß rauskommen.
Nassauische Sparkasse, https://www.naspa.de/, Wiesbaden, Bank, Sie ist eine der größten Sparkassen in Hessen und betreut Privat- und Geschäftskunden in der Region Rhein-Main.
Reisebank, https://www.reisebank.de/, Frankfurt, Bank, Tochter der DZ Bank; Edelmetalle kaufen und Reisegeld wechseln mit der Sicherheit einer Bank.
Aareal Bank, https://www.aareal-bank.com/, Wiesbaden, Bank, Übernahme steht an.
AKA Ausfuhrkredit-Gesellschaft mit beschränkter Haftung, https://www.akabank.de/de/, Frankfurt, Bank, pezialbank für Exportfinanzierungen mit Sitz in Frankfurt am Main.
Bankhaus Metzler, https://www.metzler.com/de/metzler, Frankfurt, Bank, *
Bankhaus Scheich, https://www.bankhaus-scheich.de/, Frankfurt, Bank, *
Commerzbank, https://commerzbank.com/, Frankfurt, Bank, *
DZ Bank, https://www.dzbank.com/, Frankfurt, DZ Bank AG is the second largest bank in Germany by asset size 
Frankfurter Bankgesellschaft (Deutschland) AG, https://www.frankfurter-bankgesellschaft.com/, Frankfurt, Bank, problem reporting allocation
Frankfurter Sparkasse, https://www.frankfurter-sparkasse.de/, Frankfurt, Bank, *
hauck & aufhäuser privatbankiers, https://www.hal-privatbank.com/, Frankfurt, Bank, *
ICF Bank, https://icfbank.de/, Frankfurt, Bank, Market Making; IPOs
ING-DiBa, https://www.ing.de/, Frankfurt, Bank, Vollständiges Tochterunternehmen der niederländischen ING Groep.
İşbank AG, https://www.isbank.de/, Frankfurt, Bank, Tochterunternehmen der türkischen Universalbank Türkiye İş Bankası A.Ş. mit Sitz in Istanbul
KfW, https://www.kfw.de/, Frankfurt, Bank, keine Filialen; verfügt nicht über Kundeneinlagen und refinanziert ihr Fördergeschäft fast vollständig über die internationalen Kapitalmärkte.
Landwirtschaftliche Rentenbank, https://www.rentenbank.de/, Frankfurt, Bank, deutsche Förderbank für die Agrarwirtschaft und den ländlichen Raum
MAINFIRST Affiliated Fund Managers (Deutschland) GmbH, https://www.mainfirst.com/, Frankfurt, Asset Manager, problem reporting allocation
Raisin Bank, https://www.raisin.bank/, Frankfurt, Bank, Weltsparen gehört dazu
Misr Bank Europe GmbH, https://www.misr.de/, Frankfurt, Bank,  problem reporting allocation
ODDO BHF Corporates & Markets AG (ODDO BHF SE), https://www.oddo-bhf.com/, Frankfurt, Bank, gehört zur französischen Bankengruppe
OYAK ANKER Bank GmbH, https://www.oyakankerbank.de/, Frankfurt, Bank, *
procredit bank ag, https://www.procreditbank.de/, Frankfurt, Bank, kleine Bank 64Mitarbeiter; Bilanzsumme 700 Mio
DSK Hyp AG, https://dskvg.de/, Frankfurt, Bank, Bilanzsumme 2.5 Mrd; Umstrukturierung steht an; Tochter von schwedischer Bank
SECB Swiss Euro Clearing Bank GmbH, https://www.secb.de/, Frankfurt, Bank, Bilanzsumme 2 Mrd; Nicht relevant da Clearingbank; nur Dienstleister für schweizer Banken
Sparda-Bank Hessen eG, https://www.sparda-hessen.de/, Frankfurt, Bank, *
Union Investment, https://www.union-investment.de/, Frankfurt, Asset Manager, gehört zur DZ Bank
AK Bank, https://www.akbank.de/, Frankfurt, Bank, problem strong connection to türkischen Akbank T.A.Ş; Bilanzsumme 3.8 Mrd
Goldman Sachs Bank Europe SE, https://www.goldmansachs.com/disclosures/gsbank-europe-se-disclosures.html, Frankfurt, Bank, Bilanzsumme 22 Mrd
Keb Hana Bank (D), https://www.kebhana.de/en/, Frankfurt, Bank, kleine Bank Bilanzsumme 800 Mio
Morgan Stanley Europe SE, https://www.morganstanley.com/, Frankfurt, Bank, Bilanzsumme 17 Mrd
NIBC Bank Deutschland AG, https://www.nibcdirect.de/, Frankfurt, Bank, Bilanzsumme 2 Mrd; Mutter in Niederlande
UBS Europe SE, https://www.ubs.com/, Frankfurt, Bank, Bilanzsumme 50 Mrd
Wells Fargo Bank, https://www.wellsfargo.com/, San Francisco, Bank, Niederlassung Frankfurt; Bilanzsumme nur 7 Mio
 

